2023-01-25; 12:37:18.095; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99963938262262% complete 
2023-01-25; 12:37:18.383; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:37:19.578; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:37:25.424; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:37:27.349; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9996361273121% complete 
2023-01-25; 12:37:27.463; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:37:28.738; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:37:29.678; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99963540390978% complete 
2023-01-25; 12:37:31.933; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99963468050748% complete 
2023-01-25; 12:37:36.178; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99963287200178% complete 
2023-01-25; 12:37:36.500; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:37:37.838; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:37:40.545; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:37:42.581; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:37:43.429; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99963034009392% complete 
2023-01-25; 12:37:44.935; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:37:47.035; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:37:49.620; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:37:50.137; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:37:51.628; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99962744648508% complete 
2023-01-25; 12:37:52.659; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:37:53.298; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:37:55.698; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:00.827; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99962419117534% complete 
2023-01-25; 12:38:02.398; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:03.015; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99962310607214% complete 
2023-01-25; 12:38:03.738; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:06.205; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99962202096897% complete 
2023-01-25; 12:38:07.403; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99962165926792% complete 
2023-01-25; 12:38:08.604; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99962129756685% complete 
2023-01-25; 12:38:10.792; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:11.506; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:12.817; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99961985076268% complete 
2023-01-25; 12:38:17.031; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99961840395855% complete 
2023-01-25; 12:38:20.832; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:21.609; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:23.878; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:27.248; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99961442524739% complete 
2023-01-25; 12:38:30.712; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:30.918; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:31.974; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
